name,description,price,category,image_url,website_url,product_url,stock,currency,payment_link,sku,color,size,required_fields,attributes
SportCore Joggers,"Comfortable joggers with stretch fabric, elastic waistband and practical pockets for daily wear.",1449,Joggers,https://placehold.co/600x600?text=SF-JO-010,,https://shubhamfashion.demo/products/SF-JO-010,40,INR,,SF-JO-010,Grey,XL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XL""]}"
SummerLite Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",1849,Shorts,https://placehold.co/600x600?text=SF-ST-001,,https://shubhamfashion.demo/products/SF-ST-001,49,INR,,SF-ST-001,Grey,M,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""M""]}"
ActiveShort Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",1899,Shorts,https://placehold.co/600x600?text=SF-ST-002,,https://shubhamfashion.demo/products/SF-ST-002,53,INR,,SF-ST-002,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
BeachFlex Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",649,Shorts,https://placehold.co/600x600?text=SF-ST-003,,https://shubhamfashion.demo/products/SF-ST-003,21,INR,,SF-ST-003,Grey,M,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""M""]}"
CottonBreeze Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",449,Shorts,https://placehold.co/600x600?text=SF-ST-004,,https://shubhamfashion.demo/products/SF-ST-004,21,INR,,SF-ST-004,Navy,M,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""M""]}"
UrbanShort Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",1249,Shorts,https://placehold.co/600x600?text=SF-ST-005,,https://shubhamfashion.demo/products/SF-ST-005,31,INR,,SF-ST-005,Olive,S,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""S""]}"
CargoLite Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",2149,Shorts,https://placehold.co/600x600?text=SF-ST-006,,https://shubhamfashion.demo/products/SF-ST-006,5,INR,,SF-ST-006,Blue,XL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XL""]}"
RunFlex Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",1299,Shorts,https://placehold.co/600x600?text=SF-ST-007,,https://shubhamfashion.demo/products/SF-ST-007,30,INR,,SF-ST-007,Grey,M,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""M""]}"
WeekendShort Shorts,"Lightweight shorts made for comfort during summer, workouts and casual outings.",2149,Shorts,https://placehold.co/600x600?text=SF-ST-008,,https://shubhamfashion.demo/products/SF-ST-008,17,INR,,SF-ST-008,Grey,XXL,"[""color"", ""size""]","{""color"": [""Grey""], ""size"": [""XXL""]}"
ClassicCap Cap,Adjustable cap made from breathable fabric with a curved visor for everyday use.,1349,Cap,https://placehold.co/600x600?text=SF-CA-001,,https://shubhamfashion.demo/products/SF-CA-001,7,INR,,SF-CA-001,Navy,M,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""M""]}"
UrbanPeak Cap,Adjustable cap made from breathable fabric with a curved visor for everyday use.,2099,Cap,https://placehold.co/60０x6００?text=SF-CA-００２,,https://shubhamfashion.demo/products/SF-CA-００２,１７,INR,,SF-CA-００２,Blue,M,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""M""]}"
SportShield Cap,Adjustable cap made from breathable fabric with a curved visor for everyday use.,2049,Cap,https://placehold.co/600x600?text=SF-CA-003,,https://shubhamfashion.demo/products/SF-CA-003,14,INR,,SF-CA-003,Olive,L,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""L""]}"
StreetSnap Cap,Adjustable cap made from breathable fabric with a curved visor for everyday use.,1549,Cap,https://placehold.co/600x600?text=SF-CA-004,,https://shubhamfashion.demo/products/SF-CA-004,17,INR,,SF-CA-004,White,L,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""L""]}"
OutdoorPro Cap,Adjustable cap made from breathable fabric with a curved visor for everyday use.,499,Cap,https://placehold.co/600x600?text=SF-CA-005,,https://shubhamfashion.demo/products/SF-CA-005,40,INR,,SF-CA-005,Black,XXL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XXL""]}"
